Total memory size (Gb)	Stacked die count	Page size	Chip IO width	Activation energy	Area efficiency	Precharge energy	Read energy	TSV area overhead	TSV energy overhead per access	TSV latency overhead	Write energy	t_CAS	t_RAS	t_RC	t_RCD	t_RP	t_RRD
"	1.0	 "	"	4	 "	"	16384	 "	"	1024	 "	"	1.43541	 "	"	26.6045	 "	"	1.38755	 "	"	2.44726	 "	"	0.013104	 "	"	0.542721	 "	"	0.722927	 "	"	2.44729	 "	"	8	 "	"	16	 "	"	22	 "	"	10	 "	"	7	 "	"	2	 "
"	4.0	 "	"		 "	"	16384	 "	"	1024	 "	"	1.22844	 "	"	28.1919	 "	"	0.878557	 "	"	19.1348	 "	"		 "	"		 "	"		 "	"	19.1348	 "	"	77	 "	"	22	 "	"	28	 "	"	11	 "	"	7	 "	"	6	 "
"	1.0	 "	"		 "	"	16384	 "	"	1024	 "	"	0.981558	 "	"	27.6654	 "	"	0.878494	 "	"	5.38322	 "	"		 "	"		 "	"		 "	"	5.38325	 "	"	13	 "	"	16	 "	"	22	 "	"	10	 "	"	7	 "	"	2	 "
"	2.0	 "	"		 "	"	16384	 "	"	1024	 "	"	1.0609	 "	"	27.9722	 "	"	0.878526	 "	"	9.9694	 "	"		 "	"		 "	"		 "	"	9.96943	 "	"	27	 "	"	18	 "	"	24	 "	"	10	 "	"	7	 "	"	3	 "
"	2.0	 "	"	4	 "	"	16384	 "	"	1024	 "	"	1.45362	 "	"	27.2115	 "	"	1.38807	 "	"	3.59727	 "	"	0.01312	 "	"	0.543234	 "	"	0.722927	 "	"	3.5973	 "	"	9	 "	"	16	 "	"	22	 "	"	10	 "	"	7	 "	"	2	 "
"	4.0	 "	"	4	 "	"	16384	 "	"	1024	 "	"	1.49164	 "	"	27.6501	 "	"	1.38858	 "	"	5.8933	 "	"	0.013152	 "	"	0.543747	 "	"	0.722927	 "	"	5.89333	 "	"	14	 "	"	17	 "	"	23	 "	"	11	 "	"	7	 "	"	3	 "
