Total memory size (Gb)	Stacked die count	Page size	Chip IO width	Activation energy	Area efficiency	Precharge energy	Read energy	TSV area overhead	TSV energy overhead per access	TSV latency overhead	Write energy	t_CAS	t_RAS	t_RC	t_RCD	t_RP	t_RRD
"	4.0	 "	"	4	 "	"	8192	 "	"	1024	 "	"	1.0878	 "	"	27.1781	 "	"	0.96565	 "	"	8.15513	 "	"	0.026256	 "	"	0.543234	 "	"	0.722927	 "	"	8.1552	 "	"	16	 "	"	15	 "	"	21	 "	"	8	 "	"	7	 "	"	3	 "
"	16.0	 "	"	8	 "	"	8192	 "	"	1024	 "	"	2.7313	 "	"	32.3429	 "	"	2.61581	 "	"	9.80171	 "	"	0.104832	 "	"	2.1934	 "	"	2.13873	 "	"	9.80177	 "	"	15	 "	"	16	 "	"	22	 "	"	9	 "	"	9	 "	"	5	 "
"	2.0	 "	"	4	 "	"	8192	 "	"	512	 "	"	0.768411	 "	"	30.6521	 "	"	0.702497	 "	"	2.54998	 "	"	0.01392	 "	"	0.280081	 "	"	0.722927	 "	"	2.55001	 "	"	10	 "	"	13	 "	"	19	 "	"	7	 "	"	7	 "	"	2	 "
"	8.0	 "	"	4	 "	"	16384	 "	"	1024	 "	"	1.57147	 "	"	27.9643	 "	"	1.38909	 "	"	10.48	 "	"	0.013168	 "	"	0.54426	 "	"	0.722927	 "	"	10.48	 "	"	28	 "	"	19	 "	"	25	 "	"	11	 "	"	7	 "	"	4	 "
"	4.0	 "	"	8	 "	"	8192	 "	"	512	 "	"	1.58794	 "	"	32.7421	 "	"	1.55021	 "	"	2.52279	 "	"	0.055296	 "	"	1.1278	 "	"	2.13873	 "	"	2.52282	 "	"	10	 "	"	14	 "	"	20	 "	"	8	 "	"	9	 "	"	3	 "
"	16.0	 "	"	4	 "	"	16384	 "	"	512	 "	"	1.25647	 "	"	43.3446	 "	"	1.12283	 "	"	4.38714	 "	"	0.055872	 "	"	0.280594	 "	"	0.722927	 "	"	4.38718	 "	"	13	 "	"	18	 "	"	24	 "	"	11	 "	"	8	 "	"	3	 "
"	4.0	 "	"	8	 "	"	16384	 "	"	512	 "	"	2.0444	 "	"	31.0508	 "	"	1.97885	 "	"	2.85275	 "	"	0.006976	 "	"	1.13402	 "	"	2.13873	 "	"	2.85276	 "	"	12	 "	"	17	 "	"	24	 "	"	12	 "	"	9	 "	"	3	 "
"		 "	"		 "	"	8192	 "	"		 "	"		 "	"		 "	"		 "	"		 "	"		 "	"		 "	"		 "	"		 "	"		 "	"		 "	"		 "	"		 "	"		 "	"		 "
"	8.0	 "	"	4	 "	"	16384	 "	"	512	 "	"	1.20361	 "	"	34.448	 "	"	1.12491	 "	"	2.56649	 "	"	0.05568	 "	"	0.280081	 "	"	0.722927	 "	"	2.56651	 "	"	9	 "	"	17	 "	"	23	 "	"	10	 "	"	7	 "	"	2	 "
"	4.0	 "	"	8	 "	"	16384	 "	"	512	 "	"	2.03234	 "	"	32.5866	 "	"	1.97677	 "	"	2.54927	 "	"	0.01392	 "	"	1.13194	 "	"	2.13873	 "	"	2.54929	 "	"	11	 "	"	17	 "	"	23	 "	"	12	 "	"	9	 "	"	3	 "
"	2.0	 "	"	4	 "	"	16384	 "	"	512	 "	"	0.792278	 "	"	31.886	 "	"	0.743471	 "	"	1.48439	 "	"	0.027744	 "	"	0.279568	 "	"	0.722927	 "	"	1.4844	 "	"	8	 "	"	13	 "	"	16	 "	"	10	 "	"	4	 "	"	2	 "
"	4.0	 "	"	8	 "	"	16384	 "	"	1024	 "	"	3.10585	 "	"	27.2115	 "	"	3.0403	 "	"	5.2495	 "	"	0.01312	 "	"	2.19547	 "	"	2.13873	 "	"	5.24953	 "	"	12	 "	"	17	 "	"	24	 "	"	12	 "	"	9	 "	"	3	 "
"	8.0	 "	"	8	 "	"	16384	 "	"	1024	 "	"	3.12238	 "	"	30.3071	 "	"	3.0403	 "	"	6.39285	 "	"	0.026256	 "	"	2.19547	 "	"	2.13873	 "	"	6.39289	 "	"	13	 "	"	18	 "	"	24	 "	"	12	 "	"	9	 "	"	4	 "
"	2.0	 "	"	4	 "	"	8192	 "	"	1024	 "	"	1.01174	 "	"	30.3761	 "	"	0.964624	 "	"	3.57908	 "	"	0.05232	 "	"	0.542208	 "	"	0.722927	 "	"	3.57914	 "	"	9	 "	"	13	 "	"	19	 "	"	7	 "	"	7	 "	"	2	 "
"	16.0	 "	"	8	 "	"	8192	 "	"	1024	 "	"	2.86108	 "	"	27.6162	 "	"	2.61996	 "	"	16.6683	 "	"	0.026304	 "	"	2.19754	 "	"	2.13873	 "	"	16.6684	 "	"	34	 "	"	19	 "	"	25	 "	"	10	 "	"	9	 "	"	7	 "
"	2.0	 "	"	4	 "	"	8192	 "	"	512	 "	"	0.739197	 "	"	32.7421	 "	"	0.701471	 "	"	1.67405	 "	"	0.055296	 "	"	0.279055	 "	"	0.722927	 "	"	1.67408	 "	"	8	 "	"	13	 "	"	19	 "	"	7	 "	"	7	 "	"	2	 "
"	4.0	 "	"	8	 "	"	8192	 "	"	512	 "	"	1.64334	 "	"	27.7735	 "	"	1.55643	 "	"	3.98857	 "	"	0.006976	 "	"	1.13402	 "	"	2.13873	 "	"	3.9886	 "	"	17	 "	"	15	 "	"	21	 "	"	9	 "	"	9	 "	"	4	 "
"	16.0	 "	"	8	 "	"	8192	 "	"	512	 "	"	1.8943	 "	"	28.149	 "	"	1.56058	 "	"	10.9551	 "	"	0.007024	 "	"	1.13816	 "	"	2.13873	 "	"	10.9551	 "	"	80	 "	"	21	 "	"	27	 "	"	10	 "	"	9	 "	"	8	 "
"	4.0	 "	"	8	 "	"	8192	 "	"	1024	 "	"	2.64939	 "	"	29.9276	 "	"	2.61167	 "	"	4.65332	 "	"	0.104448	 "	"	2.18925	 "	"	2.13873	 "	"	4.65338	 "	"	11	 "	"	14	 "	"	20	 "	"	8	 "	"	9	 "	"	3	 "
"	16.0	 "	"	8	 "	"	8192	 "	"	512	 "	"	1.79963	 "	"	31.2652	 "	"	1.5585	 "	"	8.6262	 "	"	0.014016	 "	"	1.13609	 "	"	2.13873	 "	"	8.62623	 "	"	34	 "	"	19	 "	"	25	 "	"	10	 "	"	9	 "	"	7	 "
"	2.0	 "	"	4	 "	"	16384	 "	"	1024	 "	"	1.05312	 "	"	28.8746	 "	"	1.0056	 "	"	2.60549	 "	"	0.104448	 "	"	0.541695	 "	"	0.722927	 "	"	2.60552	 "	"	7	 "	"	12	 "	"	16	 "	"	10	 "	"	4	 "	"	2	 "
"	2.0	 "	"	8	 "	"	8192	 "	"	512	 "	"	1.38519	 "	"	30.0115	 "	"	1.35767	 "	"	2.14573	 "	"	0.055104	 "	"	1.12572	 "	"	2.13873	 "	"	2.14576	 "	"	10	 "	"	11	 "	"	14	 "	"	8	 "	"	6	 "	"	3	 "
"	4.0	 "	"	4	 "	"	16384	 "	"	1024	 "	"	1.45083	 "	"	32.3825	 "	"	1.38755	 "	"	3.59061	 "	"	0.052416	 "	"	0.542721	 "	"	0.722927	 "	"	3.59064	 "	"	8	 "	"	16	 "	"	22	 "	"	10	 "	"	7	 "	"	2	 "
"	8.0	 "	"	8	 "	"	16384	 "	"	512	 "	"	2.08398	 "	"	31.3043	 "	"	1.98092	 "	"	4.03028	 "	"	0.007008	 "	"	1.13609	 "	"	2.13873	 "	"	4.0303	 "	"	17	 "	"	19	 "	"	25	 "	"	12	 "	"	9	 "	"	4	 "
"	2.0	 "	"	4	 "	"	8192	 "	"	512	 "	"	0.789914	 "	"	27.7735	 "	"	0.70301	 "	"	3.13515	 "	"	0.006976	 "	"	0.280594	 "	"	0.722927	 "	"	3.13518	 "	"	14	 "	"	14	 "	"	20	 "	"	7	 "	"	7	 "	"	3	 "
