Total memory size/Layer (Gb)	Stacked die count	Page size(KB)	Chip IO width	Number of banks/Layer	Size of bank (Mb)	Total number of banks	Activation energy nJ	Area efficiency	DRAM core area(mm^2)	Precharge energy nJ	Read energy nJ	TSV area overhead	TSV energy overhead per access	TSV latency overhead	Total memory size (Gb)	Write energy nJ	t_CAS	t_RAS	t_RC	t_RCD	t_RP	t_RRD
"	16.0	 "	"	4	 "	"	4	 "	"	512	 "	"	1	 "	"	16384.0	 "	"	4	 "	"	2.18529	 "	"	42.0065	 "	"	62.8195	 "	"	1.9666	 "	"	5.73809	 "	"	0.007056	 "	"	0.282133	 "	"	0.722927	 "	"	64.0	 "	"	5.73811	 "	"	29	 "	"	25	 "	"	31	 "	"	17	 "	"	8	 "	"	4	 "
"	8.0	 "	"	8	 "	"	2	 "	"	1024	 "	"	8	 "	"	1024.0	 "	"	64	 "	"	3.0912	 "	"	31.8455	 "	"	20.7158	 "	"	3.03616	 "	"	4.75604	 "	"	0.10464	 "	"	2.19133	 "	"	2.13873	 "	"	64.0	 "	"	4.75607	 "	"	11	 "	"	17	 "	"	23	 "	"	12	 "	"	9	 "	"	3	 "
"	8.0	 "	"	8	 "	"	2	 "	"	512	 "	"	8	 "	"	1024.0	 "	"	64	 "	"	2.02975	 "	"	33.8659	 "	"	19.48	 "	"	1.9747	 "	"	2.58599	 "	"	0.055488	 "	"	1.12987	 "	"	2.13873	 "	"	64.0	 "	"	2.58601	 "	"	11	 "	"	17	 "	"	23	 "	"	12	 "	"	9	 "	"	3	 "
"	16.0	 "	"	4	 "	"	1	 "	"	1024	 "	"	16	 "	"	1024.0	 "	"	64	 "	"	1.11366	 "	"	33.1134	 "	"	79.6905	 "	"	0.965137	 "	"	10.4355	 "	"	0.209664	 "	"	0.542721	 "	"	0.722927	 "	"	64.0	 "	"	10.4356	 "	"	14	 "	"	16	 "	"	22	 "	"	8	 "	"	7	 "	"	4	 "
"	8.0	 "	"	8	 "	"	4	 "	"	512	 "	"	16	 "	"	512.0	 "	"	128	 "	"	1.58202	 "	"	27.9682	 "	"	23.5877	 "	"	1.47901	 "	"	3.40063	 "	"	0.110592	 "	"	1.1278	 "	"	2.13873	 "	"	64.0	 "	"	3.40065	 "	"	12	 "	"	18	 "	"	20	 "	"	16	 "	"	5	 "	"	4	 "
"	16.0	 "	"	4	 "	"	1	 "	"	512	 "	"	16	 "	"	1024.0	 "	"	64	 "	"	0.851023	 "	"	34.5452	 "	"	76.3878	 "	"	0.702497	 "	"	5.4414	 "	"	0.11136	 "	"	0.280081	 "	"	0.722927	 "	"	64.0	 "	"	5.44144	 "	"	14	 "	"	16	 "	"	22	 "	"	8	 "	"	7	 "	"	4	 "
"	8.0	 "	"	8	 "	"	4	 "	"	1024	 "	"	1	 "	"	8192.0	 "	"	8	 "	"	3.98388	 "	"	38.2772	 "	"	17.235	 "	"	3.88201	 "	"	5.42939	 "	"	0.013152	 "	"	2.19754	 "	"	2.13873	 "	"	64.0	 "	"	5.42942	 "	"	13	 "	"	23	 "	"	30	 "	"	18	 "	"	9	 "	"	3	 "
"	8.0	 "	"	8	 "	"	2	 "	"	512	 "	"	2	 "	"	4096.0	 "	"	16	 "	"	2.06092	 "	"	32.973	 "	"	20.0075	 "	"	1.97885	 "	"	3.43213	 "	"	0.013968	 "	"	1.13402	 "	"	2.13873	 "	"	64.0	 "	"	3.43215	 "	"	13	 "	"	18	 "	"	24	 "	"	12	 "	"	9	 "	"	4	 "
"	16.0	 "	"	4	 "	"	2	 "	"	512	 "	"	8	 "	"	2048.0	 "	"	32	 "	"	1.25647	 "	"	43.3446	 "	"	60.8802	 "	"	1.12283	 "	"	4.38714	 "	"	0.055872	 "	"	0.280594	 "	"	0.722927	 "	"	64.0	 "	"	4.38718	 "	"	13	 "	"	18	 "	"	24	 "	"	11	 "	"	8	 "	"	3	 "
"	8.0	 "	"	8	 "	"	4	 "	"	1024	 "	"	2	 "	"	4096.0	 "	"	16	 "	"	3.97427	 "	"	32.1551	 "	"	20.5164	 "	"	3.88513	 "	"	4.79113	 "	"	0.026256	 "	"	2.19547	 "	"	2.13873	 "	"	64.0	 "	"	4.79115	 "	"	11	 "	"	24	 "	"	30	 "	"	18	 "	"	9	 "	"	3	 "
"	8.0	 "	"	8	 "	"	1	 "	"	1024	 "	"	32	 "	"	256.0	 "	"	256	 "	"	2.64672	 "	"	28.8597	 "	"	22.8591	 "	"	2.60959	 "	"	4.74278	 "	"	0.417024	 "	"	2.18718	 "	"	2.13873	 "	"	64.0	 "	"	4.74285	 "	"	11	 "	"	14	 "	"	20	 "	"	8	 "	"	9	 "	"	3	 "
"	8.0	 "	"	8	 "	"	2	 "	"	1024	 "	"	2	 "	"	4096.0	 "	"	16	 "	"	3.12238	 "	"	30.3071	 "	"	21.7674	 "	"	3.0403	 "	"	6.39285	 "	"	0.026256	 "	"	2.19547	 "	"	2.13873	 "	"	64.0	 "	"	6.39289	 "	"	13	 "	"	18	 "	"	24	 "	"	12	 "	"	9	 "	"	4	 "
"	8.0	 "	"	8	 "	"	4	 "	"	1024	 "	"	16	 "	"	512.0	 "	"	128	 "	"	2.64348	 "	"	25.6556	 "	"	25.714	 "	"	2.54047	 "	"	6.33759	 "	"	0.208896	 "	"	2.18925	 "	"	2.13873	 "	"	64.0	 "	"	6.33762	 "	"	12	 "	"	18	 "	"	20	 "	"	16	 "	"	5	 "	"	4	 "
"	16.0	 "	"	4	 "	"	4	 "	"	512	 "	"	2	 "	"	8192.0	 "	"	8	 "	"	2.14071	 "	"	43.1143	 "	"	61.2053	 "	"	1.96608	 "	"	4.51127	 "	"	0.014064	 "	"	0.28162	 "	"	0.722927	 "	"	64.0	 "	"	4.51129	 "	"	16	 "	"	24	 "	"	30	 "	"	17	 "	"	8	 "	"	3	 "
"	8.0	 "	"	8	 "	"	4	 "	"	1024	 "	"	32	 "	"	256.0	 "	"	256	 "	"	2.82732	 "	"	28.9515	 "	"	22.7866	 "	"	2.72886	 "	"	6.18104	 "	"	0.417024	 "	"	2.18718	 "	"	2.13873	 "	"	64.0	 "	"	6.18107	 "	"	11	 "	"	19	 "	"	21	 "	"	16	 "	"	5	 "	"	4	 "
"	8.0	 "	"	8	 "	"	4	 "	"	512	 "	"	32	 "	"	256.0	 "	"	256	 "	"	1.76586	 "	"	32.7231	 "	"	20.1603	 "	"	1.6674	 "	"	3.30904	 "	"	0.220416	 "	"	1.12572	 "	"	2.13873	 "	"	64.0	 "	"	3.30905	 "	"	11	 "	"	19	 "	"	21	 "	"	16	 "	"	5	 "	"	4	 "
"	16.0	 "	"	4	 "	"	4	 "	"	512	 "	"	16	 "	"	1024.0	 "	"	64	 "	"	1.32134	 "	"	40.3273	 "	"	65.4353	 "	"	1.20269	 "	"	2.95305	 "	"	0.11136	 "	"	0.280081	 "	"	0.722927	 "	"	64.0	 "	"	2.95306	 "	"	9	 "	"	19	 "	"	23	 "	"	16	 "	"	5	 "	"	2	 "
"	16.0	 "	"	4	 "	"	4	 "	"	1024	 "	"	1	 "	"	16384.0	 "	"	4	 "	"	2.44793	 "	"	39.2241	 "	"	67.2757	 "	"	2.22924	 "	"	10.7005	 "	"	0.0132	 "	"	0.544773	 "	"	0.722927	 "	"	64.0	 "	"	10.7006	 "	"	29	 "	"	25	 "	"	31	 "	"	17	 "	"	8	 "	"	4	 "
"	8.0	 "	"	8	 "	"	1	 "	"	1024	 "	"	1	 "	"	8192.0	 "	"	8	 "	"	2.78618	 "	"	22.9266	 "	"	28.7747	 "	"	2.61996	 "	"	12.0993	 "	"	0.013152	 "	"	2.19754	 "	"	2.13873	 "	"	64.0	 "	"	12.0994	 "	"	31	 "	"	17	 "	"	23	 "	"	9	 "	"	9	 "	"	6	 "
"	8.0	 "	"	8	 "	"	4	 "	"	512	 "	"	2	 "	"	4096.0	 "	"	16	 "	"	2.91175	 "	"	42.3548	 "	"	15.5757	 "	"	2.81848	 "	"	2.72509	 "	"	0.013968	 "	"	1.13402	 "	"	2.13873	 "	"	64.0	 "	"	2.7251	 "	"	11	 "	"	23	 "	"	30	 "	"	17	 "	"	9	 "	"	3	 "
"	16.0	 "	"	4	 "	"	4	 "	"	1024	 "	"	8	 "	"	2048.0	 "	"	32	 "	"	2.34548	 "	"	41.9272	 "	"	62.9383	 "	"	2.2277	 "	"	5.1082	 "	"	0.105024	 "	"	0.543234	 "	"	0.722927	 "	"	64.0	 "	"	5.10823	 "	"	10	 "	"	23	 "	"	29	 "	"	16	 "	"	8	 "	"	2	 "
"	16.0	 "	"	4	 "	"	1	 "	"	512	 "	"	32	 "	"	512.0	 "	"	128	 "	"	0.810786	 "	"	34.0305	 "	"	77.543	 "	"	0.701984	 "	"	4.27991	 "	"	0.221952	 "	"	0.279568	 "	"	0.722927	 "	"	64.0	 "	"	4.27994	 "	"	11	 "	"	15	 "	"	21	 "	"	8	 "	"	7	 "	"	3	 "
"	16.0	 "	"	4	 "	"	4	 "	"	1024	 "	"	2	 "	"	8192.0	 "	"	8	 "	"	2.40335	 "	"	41.1448	 "	"	64.1351	 "	"	2.22872	 "	"	8.3775	 "	"	0.026352	 "	"	0.54426	 "	"	0.722927	 "	"	64.0	 "	"	8.37753	 "	"	16	 "	"	24	 "	"	30	 "	"	17	 "	"	8	 "	"	3	 "
"	8.0	 "	"	8	 "	"	2	 "	"	512	 "	"	1	 "	"	8192.0	 "	"	8	 "	"	2.08398	 "	"	31.3043	 "	"	21.074	 "	"	1.98092	 "	"	4.03028	 "	"	0.007008	 "	"	1.13609	 "	"	2.13873	 "	"	64.0	 "	"	4.0303	 "	"	17	 "	"	19	 "	"	25	 "	"	12	 "	"	9	 "	"	4	 "
"	16.0	 "	"	4	 "	"	2	 "	"	1024	 "	"	4	 "	"	4096.0	 "	"	16	 "	"	1.56214	 "	"	33.6777	 "	"	78.3553	 "	"	1.38858	 "	"	10.4667	 "	"	0.052608	 "	"	0.543747	 "	"	0.722927	 "	"	64.0	 "	"	10.4667	 "	"	17	 "	"	19	 "	"	25	 "	"	11	 "	"	7	 "	"	4	 "
"	16.0	 "	"	4	 "	"	1	 "	"	512	 "	"	8	 "	"	2048.0	 "	"	32	 "	"	0.930905	 "	"	34.5349	 "	"	76.4105	 "	"	0.70301	 "	"	7.76143	 "	"	0.055872	 "	"	0.280594	 "	"	0.722927	 "	"	64.0	 "	"	7.76146	 "	"	20	 "	"	18	 "	"	24	 "	"	9	 "	"	7	 "	"	6	 "
"	8.0	 "	"	8	 "	"	2	 "	"	1024	 "	"	1	 "	"	8192.0	 "	"	8	 "	"	3.14544	 "	"	27.6501	 "	"	23.8591	 "	"	3.04238	 "	"	7.5471	 "	"	0.013152	 "	"	2.19754	 "	"	2.13873	 "	"	64.0	 "	"	7.54713	 "	"	17	 "	"	19	 "	"	25	 "	"	12	 "	"	9	 "	"	4	 "
"	8.0	 "	"	8	 "	"	4	 "	"	1024	 "	"	8	 "	"	1024.0	 "	"	64	 "	"	3.20665	 "	"	30.476	 "	"	21.6468	 "	"	3.11913	 "	"	4.93472	 "	"	0.10464	 "	"	2.19133	 "	"	2.13873	 "	"	64.0	 "	"	4.93474	 "	"	11	 "	"	20	 "	"	24	 "	"	18	 "	"	6	 "	"	3	 "
"	16.0	 "	"	4	 "	"	4	 "	"	1024	 "	"	16	 "	"	1024.0	 "	"	64	 "	"	1.58398	 "	"	38.4171	 "	"	68.6889	 "	"	1.46533	 "	"	5.4498	 "	"	0.209664	 "	"	0.542721	 "	"	0.722927	 "	"	64.0	 "	"	5.44983	 "	"	9	 "	"	19	 "	"	23	 "	"	16	 "	"	5	 "	"	2	 "
"	16.0	 "	"	4	 "	"	2	 "	"	1024	 "	"	32	 "	"	512.0	 "	"	128	 "	"	1.46473	 "	"	32.2892	 "	"	81.7247	 "	"	1.38704	 "	"	4.91474	 "	"	0.41856	 "	"	0.542208	 "	"	0.722927	 "	"	64.0	 "	"	4.91477	 "	"	9	 "	"	17	 "	"	23	 "	"	10	 "	"	7	 "	"	2	 "
"	8.0	 "	"	8	 "	"	1	 "	"	512	 "	"	16	 "	"	512.0	 "	"	128	 "	"	1.5951	 "	"	33.1414	 "	"	19.9058	 "	"	1.55021	 "	"	2.81193	 "	"	0.110592	 "	"	1.1278	 "	"	2.13873	 "	"	64.0	 "	"	2.81196	 "	"	11	 "	"	14	 "	"	20	 "	"	9	 "	"	9	 "	"	3	 "
"	16.0	 "	"	4	 "	"	2	 "	"	512	 "	"	1	 "	"	16384.0	 "	"	4	 "	"	1.47685	 "	"	31.6064	 "	"	83.4903	 "	"	1.12696	 "	"	10.1871	 "	"	0.007056	 "	"	0.282133	 "	"	0.722927	 "	"	64.0	 "	"	10.1871	 "	"	78	 "	"	23	 "	"	29	 "	"	12	 "	"	7	 "	"	7	 "
"	16.0	 "	"	4	 "	"	1	 "	"	1024	 "	"	2	 "	"	8192.0	 "	"	8	 "	"	1.45902	 "	"	27.9303	 "	"	94.479	 "	"	0.966676	 "	"	28.7301	 "	"	0.026352	 "	"	0.54426	 "	"	0.722927	 "	"	64.0	 "	"	28.7302	 "	"	83	 "	"	24	 "	"	30	 "	"	10	 "	"	7	 "	"	10	 "
"	8.0	 "	"	8	 "	"	4	 "	"	512	 "	"	4	 "	"	2048.0	 "	"	32	 "	"	2.14824	 "	"	40.0435	 "	"	16.4748	 "	"	2.05455	 "	"	2.79284	 "	"	0.02784	 "	"	1.13194	 "	"	2.13873	 "	"	64.0	 "	"	2.79286	 "	"	11	 "	"	20	 "	"	24	 "	"	17	 "	"	6	 "	"	3	 "
"	16.0	 "	"	4	 "	"	4	 "	"	512	 "	"	32	 "	"	512.0	 "	"	128	 "	"	1.31696	 "	"	39.5076	 "	"	66.793	 "	"	1.20217	 "	"	2.93536	 "	"	0.221952	 "	"	0.279568	 "	"	0.722927	 "	"	64.0	 "	"	2.93538	 "	"	9	 "	"	19	 "	"	23	 "	"	16	 "	"	5	 "	"	2	 "
"	8.0	 "	"	8	 "	"	1	 "	"	1024	 "	"	8	 "	"	1024.0	 "	"	64	 "	"	2.67628	 "	"	31.3154	 "	"	21.0665	 "	"	2.61374	 "	"	6.37045	 "	"	0.10464	 "	"	2.19133	 "	"	2.13873	 "	"	64.0	 "	"	6.37051	 "	"	12	 "	"	15	 "	"	21	 "	"	9	 "	"	9	 "	"	4	 "
"	8.0	 "	"	8	 "	"	4	 "	"	512	 "	"	1	 "	"	8192.0	 "	"	8	 "	"	2.92242	 "	"	41.4897	 "	"	15.9005	 "	"	2.82055	 "	"	2.99779	 "	"	0.007008	 "	"	1.13609	 "	"	2.13873	 "	"	64.0	 "	"	2.9978	 "	"	13	 "	"	23	 "	"	30	 "	"	18	 "	"	9	 "	"	3	 "
"	8.0	 "	"	8	 "	"	1	 "	"	1024	 "	"	16	 "	"	512.0	 "	"	128	 "	"	2.65655	 "	"	30.6342	 "	"	21.535	 "	"	2.61167	 "	"	5.22444	 "	"	0.208896	 "	"	2.18925	 "	"	2.13873	 "	"	64.0	 "	"	5.22451	 "	"	11	 "	"	14	 "	"	20	 "	"	9	 "	"	9	 "	"	3	 "
"	8.0	 "	"	8	 "	"	4	 "	"	1024	 "	"	4	 "	"	2048.0	 "	"	32	 "	"	3.21065	 "	"	31.2344	 "	"	21.1212	 "	"	3.12121	 "	"	4.94548	 "	"	0.052416	 "	"	2.1934	 "	"	2.13873	 "	"	64.0	 "	"	4.9455	 "	"	11	 "	"	21	 "	"	24	 "	"	18	 "	"	6	 "	"	3	 "
"	16.0	 "	"	4	 "	"	2	 "	"	1024	 "	"	2	 "	"	8192.0	 "	"	8	 "	"	1.64637	 "	"	31.1538	 "	"	84.7032	 "	"	1.38909	 "	"	15.0534	 "	"	0.026352	 "	"	0.54426	 "	"	0.722927	 "	"	64.0	 "	"	15.0534	 "	"	31	 "	"	21	 "	"	27	 "	"	11	 "	"	7	 "	"	6	 "
"	16.0	 "	"	4	 "	"	2	 "	"	512	 "	"	32	 "	"	512.0	 "	"	128	 "	"	1.20209	 "	"	34.1087	 "	"	77.3653	 "	"	1.1244	 "	"	2.65179	 "	"	0.221952	 "	"	0.279568	 "	"	0.722927	 "	"	64.0	 "	"	2.65181	 "	"	9	 "	"	17	 "	"	23	 "	"	10	 "	"	7	 "	"	2	 "
"	8.0	 "	"	8	 "	"	1	 "	"	512	 "	"	32	 "	"	256.0	 "	"	256	 "	"	1.58526	 "	"	32.0635	 "	"	20.575	 "	"	1.54814	 "	"	2.5655	 "	"	0.220416	 "	"	1.12572	 "	"	2.13873	 "	"	64.0	 "	"	2.56553	 "	"	10	 "	"	14	 "	"	20	 "	"	8	 "	"	9	 "	"	3	 "
"	8.0	 "	"	8	 "	"	1	 "	"	1024	 "	"	4	 "	"	2048.0	 "	"	32	 "	"	2.69825	 "	"	31.3696	 "	"	21.0301	 "	"	2.61581	 "	"	7.51721	 "	"	0.052416	 "	"	2.1934	 "	"	2.13873	 "	"	64.0	 "	"	7.51727	 "	"	14	 "	"	15	 "	"	21	 "	"	9	 "	"	9	 "	"	4	 "
"	8.0	 "	"	8	 "	"	2	 "	"	1024	 "	"	16	 "	"	512.0	 "	"	128	 "	"	2.70836	 "	"	29.217	 "	"	22.5796	 "	"	2.65316	 "	"	4.91752	 "	"	0.208896	 "	"	2.18925	 "	"	2.13873	 "	"	64.0	 "	"	4.91755	 "	"	10	 "	"	14	 "	"	17	 "	"	11	 "	"	6	 "	"	3	 "
"	8.0	 "	"	8	 "	"	2	 "	"	1024	 "	"	32	 "	"	256.0	 "	"	256	 "	"	2.70437	 "	"	27.472	 "	"	24.0138	 "	"	2.65108	 "	"	4.91318	 "	"	0.417024	 "	"	2.18718	 "	"	2.13873	 "	"	64.0	 "	"	4.91322	 "	"	10	 "	"	14	 "	"	17	 "	"	11	 "	"	6	 "	"	3	 "
"	16.0	 "	"	4	 "	"	2	 "	"	512	 "	"	16	 "	"	1024.0	 "	"	64	 "	"	1.21903	 "	"	34.6601	 "	"	76.1343	 "	"	1.12491	 "	"	3.14588	 "	"	0.11136	 "	"	0.280081	 "	"	0.722927	 "	"	64.0	 "	"	3.14589	 "	"	10	 "	"	17	 "	"	23	 "	"	11	 "	"	7	 "	"	3	 "
"	16.0	 "	"	4	 "	"	1	 "	"	1024	 "	"	8	 "	"	2048.0	 "	"	32	 "	"	1.19355	 "	"	33.0935	 "	"	79.7385	 "	"	0.96565	 "	"	15.0086	 "	"	0.105024	 "	"	0.543234	 "	"	0.722927	 "	"	64.0	 "	"	15.0087	 "	"	20	 "	"	18	 "	"	24	 "	"	9	 "	"	7	 "	"	6	 "
"	16.0	 "	"	4	 "	"	4	 "	"	512	 "	"	8	 "	"	2048.0	 "	"	32	 "	"	2.08284	 "	"	43.5549	 "	"	60.5862	 "	"	1.96506	 "	"	2.79445	 "	"	0.055872	 "	"	0.280594	 "	"	0.722927	 "	"	64.0	 "	"	2.79447	 "	"	10	 "	"	23	 "	"	29	 "	"	16	 "	"	8	 "	"	2	 "
"	8.0	 "	"	8	 "	"	2	 "	"	512	 "	"	32	 "	"	256.0	 "	"	256	 "	"	1.64291	 "	"	30.5061	 "	"	21.6254	 "	"	1.58963	 "	"	2.65675	 "	"	0.220416	 "	"	1.12572	 "	"	2.13873	 "	"	64.0	 "	"	2.65676	 "	"	10	 "	"	14	 "	"	17	 "	"	11	 "	"	6	 "	"	3	 "
